# OCT iter       1000;   J_T =   5.367238810491E-03;   pulse_id =          1                                                                                                                                                                                   
#               time [ns]              abs(E) [au]        phase(E) [rad/pi]
   3.7537537537537538E-02   3.3996205303778577E-04   2.7204495844415574E-03
   1.1261261261261260E-01   3.4492884235328336E-04   9.2443843622648288E-03
   1.8768768768768770E-01   3.4178398971346360E-04   1.5974183076518187E-02
   2.6276276276276278E-01   3.3006745197089335E-04   1.8447364322203109E-02
   3.3783783783783783E-01   3.1239766144321369E-04   1.1790612651230123E-02
   4.1291291291291293E-01   2.9451101624030382E-04  -8.2107970543843362E-03
   4.8798798798798793E-01   2.8433375304359114E-04  -4.2045469341056477E-02
   5.6306306306306297E-01   2.8880532594371570E-04  -8.2685959592045499E-02
   6.3813813813813813E-01   3.0942229473032251E-04  -1.1797293430112567E-01
   7.1321321321321318E-01   3.4128324963002732E-04  -1.3964881415896746E-01
   7.8828828828828834E-01   3.7666150251164810E-04  -1.4703832662673258E-01
   8.6336336336336339E-01   4.0854634859548383E-04  -1.4360436928978787E-01
   9.3843843843843844E-01   4.3206303221053215E-04  -1.3353929561903424E-01
   1.0135135135135136E+00   4.4466832474190850E-04  -1.2053812891874331E-01
   1.0885885885885886E+00   4.4597998773568170E-04  -1.0768389928206394E-01
   1.1636636636636639E+00   4.3750881005147829E-04  -9.7578635289617244E-02
   1.2387387387387387E+00   4.2230641308160202E-04  -9.2365725987251124E-02
   1.3138138138138138E+00   4.0446046456515277E-04  -9.3494927891962024E-02
   1.3888888888888891E+00   3.8834201953698999E-04  -1.0121676562808075E-01
   1.4639639639639641E+00   3.7758696783809229E-04  -1.1409206045794147E-01
   1.5390390390390392E+00   3.7407819757690614E-04  -1.2914838741511520E-01
   1.6141141141141142E+00   3.7750396076087966E-04  -1.4302462269241251E-01
   1.6891891891891890E+00   3.8585629727196406E-04  -1.5338846513866719E-01
   1.7642642642642643E+00   3.9651770094708855E-04  -1.5954874071226116E-01
   1.8393393393393391E+00   4.0724230072784577E-04  -1.6211832769239443E-01
