# OCT iter       1000;   J_T =   5.367238810491E-03;   pulse_id =          1                                                                                                                                                                                   
#               time [ns]        phase(E) [rad/pi]
   3.7537537537537538E-02   2.7204495844415574E-03
   1.1261261261261260E-01   9.2443843622648288E-03
   1.8768768768768770E-01   1.5974183076518187E-02
   2.6276276276276278E-01   1.8447364322203109E-02
   3.3783783783783783E-01   1.1790612651230123E-02
   4.1291291291291293E-01  -8.2107970543843362E-03
   4.8798798798798793E-01  -4.2045469341056477E-02
   5.6306306306306297E-01  -8.2685959592045499E-02
   6.3813813813813813E-01  -1.1797293430112567E-01
   7.1321321321321318E-01  -1.3964881415896746E-01
   7.8828828828828834E-01  -1.4703832662673258E-01
   8.6336336336336339E-01  -1.4360436928978787E-01
   9.3843843843843844E-01  -1.3353929561903424E-01
   1.0135135135135136E+00  -1.2053812891874331E-01
   1.0885885885885886E+00  -1.0768389928206394E-01
   1.1636636636636639E+00  -9.7578635289617244E-02
   1.2387387387387387E+00  -9.2365725987251124E-02
   1.3138138138138138E+00  -9.3494927891962024E-02
   1.3888888888888891E+00  -1.0121676562808075E-01
   1.4639639639639641E+00  -1.1409206045794147E-01
   1.5390390390390392E+00  -1.2914838741511520E-01
   1.6141141141141142E+00  -1.4302462269241251E-01
   1.6891891891891890E+00  -1.5338846513866719E-01
   1.7642642642642643E+00  -1.5954874071226116E-01
   1.8393393393393391E+00  -1.6211832769239443E-01
   1.9144144144144142E+00  -1.6233348198855146E-01
   1.9894894894894894E+00  -1.6149824025261061E-01
   2.0645645645645647E+00  -1.6065704997854985E-01
   2.1396396396396393E+00  -1.6044320651910429E-01
   2.2147147147147148E+00  -1.6105208557097597E-01
   2.2897897897897899E+00  -1.6231581215456184E-01
   2.3648648648648645E+00  -1.6385422937981262E-01
   2.4399399399399400E+00  -1.6525266011484002E-01
   2.5150150150150150E+00  -1.6620475931339798E-01
   2.5900900900900901E+00  -1.6657995875758866E-01
   2.6651651651651651E+00  -1.6641504651752792E-01
   2.7402402402402402E+00  -1.6585868499558429E-01
   2.8153153153153152E+00  -1.6510325163522335E-01
   2.8903903903903903E+00  -1.6432809307745319E-01
   2.9654654654654653E+00  -1.6366476269030714E-01
   3.0405405405405408E+00  -1.6318477573190832E-01
   3.1156156156156154E+00  -1.6290477727653102E-01
   3.1906906906906909E+00  -1.6280163415633719E-01
   3.2657657657657664E+00  -1.6282981744835257E-01
   3.3408408408408410E+00  -1.6293489076048145E-01
   3.4159159159159160E+00  -1.6305932325361941E-01
   3.4909909909909915E+00  -1.6313948491642116E-01
   3.5660660660660661E+00  -1.6309498786731300E-01
   3.6411411411411412E+00  -1.6281329374415912E-01
   3.7162162162162167E+00  -1.6244453419344201E-01
   3.7912912912912913E+00  -1.6218792444977068E-01
   3.8663663663663672E+00  -1.6201280452929509E-01
   3.9414414414414418E+00  -1.6189330995519285E-01
   4.0165165165165169E+00  -1.6181037353360658E-01
   4.0915915915915919E+00  -1.6175135371843535E-01
   4.1666666666666670E+00  -1.6170876286015715E-01
   4.2417417417417420E+00  -1.6167881250491739E-01
   4.3168168168168171E+00  -1.6166008144866631E-01
   4.3918918918918921E+00  -1.6165241648901552E-01
