#   iter         1-F_avg
       0    8.244882E-01
       1    6.879746E-01
       2    5.385382E-01
       3    4.167845E-01
       4    2.896959E-01
       5    1.892159E-01
       6    1.251789E-01
       7    8.513485E-02
       8    6.010252E-02
       9    4.412636E-02
      10    3.338046E-02
      11    2.568008E-02
      12    1.987872E-02
      13    1.538357E-02
      14    1.186517E-02
      15    9.112587E-03
      16    6.970309E-03
      17    5.313848E-03
      18    4.040876E-03
      19    3.067589E-03
      20    2.326335E-03
      21    1.763372E-03
      22    1.336605E-03
      23    1.013434E-03
      24    7.688296E-04
      25    5.836956E-04
      26    4.435282E-04
      27    3.373450E-04
      28    2.568454E-04
      29    1.957630E-04
      30    1.493688E-04
      31    1.140943E-04
      32    8.724548E-05
      33    6.678727E-05
      34    5.118128E-05
      35    3.926345E-05
      36    3.015209E-05
      37    2.317868E-05
      38    1.783580E-05
      39    1.373782E-05
      40    1.059141E-05
