# OCT iter         41;   J_T =   9.081251971854E-06;   pulse_id =          2                                                                                                                                                                                   
#               time [ns]              abs(E) [au]        phase(E) [rad/pi]
   2.5025025025025027E-02   3.4087592608722143E-04   0.0000000000000000E+00
   7.5075075075075076E-02   3.5193718268526712E-04  -1.2036862696288214E-05
   1.2512512512512516E-01   3.6328449266353997E-04  -6.9743387385808300E-05
   1.7517517517517520E-01   3.7481920648468772E-04  -2.3129307947115663E-04
   2.2522522522522526E-01   3.8630523941979620E-04  -5.5035635622750344E-04
   2.7527527527527529E-01   3.9730949684072859E-04  -1.0059144445367638E-03
   3.2532532532532538E-01   4.0718653434345596E-04  -1.4004057307044923E-03
   3.7537537537537541E-01   4.1514276104165782E-04  -1.2405823588975560E-03
   4.2542542542542550E-01   4.2041454315932544E-04   3.8702473299914280E-04
   4.7547547547547553E-01   4.2260129471434433E-04   4.9331061028265663E-03
   5.2552552552552556E-01   4.2221167111930805E-04   1.4448991300149476E-02
   5.7557557557557559E-01   4.2148303874282796E-04   3.1430367897076358E-02
   6.2562562562562574E-01   4.2541039364341705E-04   5.8024097312354909E-02
   6.7567567567567566E-01   4.4242702120771035E-04   9.4085602266593973E-02
   7.2572572572572580E-01   4.8338856561962624E-04   1.3484631766924646E-01
   7.7577577577577583E-01   5.5812005514091663E-04   1.7160082363339163E-01
   8.2582582582582598E-01   6.7204050398896389E-04   1.9669903284235493E-01
   8.7587587587587601E-01   8.2606068727212939E-04   2.0725812977532443E-01
   9.2592592592592604E-01   1.0186801020581192E-03   2.0425354654822167E-01
   9.7597597597597607E-01   1.2476592208612942E-03   1.9008785105340342E-01
   1.0260260260260261E+00   1.5106405582959973E-03   1.6714029550797568E-01
   1.0760760760760761E+00   1.8052107169564541E-03   1.3731159050937788E-01
   1.1261261261261262E+00   2.1288100025938545E-03   1.0200701868091951E-01
   1.1761761761761762E+00   2.4786499415128276E-03   6.2238223397729844E-02
   1.2262262262262265E+00   2.8516798894095865E-03   1.8730044533447277E-02
   1.2762762762762765E+00   3.2446069003065096E-03  -2.7994947445515141E-02
   1.3263263263263265E+00   3.6539653503088122E-03  -7.7554743938499981E-02
   1.3763763763763766E+00   4.0762320676747260E-03  -1.2966365137052993E-01
   1.4264264264264266E+00   4.5079817191291914E-03  -1.8410023389474403E-01
   1.4764764764764766E+00   4.9460742161355643E-03  -2.4068348354541000E-01
   1.5265265265265267E+00   5.3878610909837707E-03  -2.9925450253229391E-01
   1.5765765765765769E+00   5.8313920939797531E-03  -3.5966194805346807E-01
   1.6266266266266267E+00   6.2755980635645229E-03  -4.2175022538202528E-01
   1.6766766766766772E+00   6.7204230528475246E-03  -4.8535000223784280E-01
   1.7267267267267272E+00   7.1668793920986731E-03  -5.5027110144152058E-01
   1.7767767767767773E+00   7.6170050755906870E-03  -6.1629819971803357E-01
   1.8268268268268273E+00   8.0737139119188596E-03  -6.8318995906365210E-01
   1.8768768768768773E+00   8.5405441168744829E-03  -7.5068216231539731E-01
