#   iter         1-F_avg
       0    8.244882E-01
       1    6.921480E-01
       2    4.187408E-01
       3    3.143043E-01
       4    2.507594E-01
       5    2.013146E-01
       6    1.629411E-01
       7    1.336402E-01
       8    1.112153E-01
       9    9.368639E-02
      10    7.952651E-02
      11    6.767213E-02
      12    5.744033E-02
      13    4.843312E-02
      14    4.045317E-02
      15    3.342986E-02
      16    2.735261E-02
      17    2.221514E-02
      18    1.797985E-02
      19    1.456717E-02
      20    1.186532E-02
      21    9.749344E-03
      22    8.098613E-03
      23    6.807714E-03
      24    5.790585E-03
      25    4.980083E-03
      26    4.325340E-03
      27    3.788508E-03
      28    3.341702E-03
      29    2.964457E-03
      30    2.641747E-03
      31    2.362489E-03
      32    2.118447E-03
      33    1.903435E-03
      34    1.712746E-03
      35    1.542741E-03
      36    1.390560E-03
      37    1.253914E-03
      38    1.130934E-03
      39    1.020072E-03
      40    9.200181E-04
      41    8.296506E-04
      42    7.479956E-04
      43    6.741977E-04
      44    6.074991E-04
      45    5.472232E-04
      46    4.927630E-04
      47    4.435713E-04
      48    3.991532E-04
      49    3.590604E-04
      50    3.228860E-04
      51    2.902603E-04
      52    2.608473E-04
      53    2.343418E-04
      54    2.104661E-04
      55    1.889680E-04
      56    1.696184E-04
      57    1.522092E-04
      58    1.365517E-04
      59    1.224747E-04
      60    1.098229E-04
      61    9.845599E-05
      62    8.824661E-05
      63    7.907970E-05
      64    7.085122E-05
      65    6.346715E-05
      66    5.684260E-05
      67    5.090096E-05
      68    4.557310E-05
      69    4.079672E-05
      70    3.651568E-05
      71    3.267939E-05
      72    2.924234E-05
      73    2.616355E-05
      74    2.340618E-05
