# OCT iter        711;   J_T =   9.957421717913E-04;   pulse_id =          1                                                                                                                                                                                   
#               time [ns]              abs(E) [au]        phase(E) [rad/pi]
   2.5025025025025027E-02   5.4310638369395375E-03   4.6177556810914100E-01
   7.5075075075075076E-02   2.1531067903844195E-02   5.3673728174139113E-01
   1.2512512512512516E-01   4.8283421221833649E-02   6.0008362994517550E-01
   1.7517517517517520E-01   8.5400236766308049E-02   6.6209887921686683E-01
   2.2522522522522526E-01   1.3237465722187308E-01   7.2427206858821191E-01
   2.7527527527527529E-01   1.8842411373291851E-01   7.8713252574579162E-01
   3.2532532532532538E-01   2.5245299975826457E-01   8.5099974779256993E-01
   3.7537537537537541E-01   3.2303730668005143E-01   9.1612511483941905E-01
   4.2542542542542550E-01   3.9843562072078670E-01   9.8272283507131275E-01
   4.7547547547547553E-01   4.7662787351841013E-01  -9.4903149708168633E-01
   5.2552552552552556E-01   5.5537818835344888E-01  -8.7901467754156359E-01
   5.7557557557557559E-01   6.3231330362962190E-01  -8.0717065040560687E-01
   6.2562562562562574E-01   7.0500787711891821E-01  -7.3351472457713096E-01
   6.7567567567567566E-01   7.7107621192884124E-01  -6.5811814458449358E-01
   7.2572572572572580E-01   8.2828191015356156E-01  -5.8107507845267092E-01
   7.7577577577577583E-01   8.7467499975156726E-01  -5.0247365305475478E-01
   8.2582582582582598E-01   9.0873168946558180E-01  -4.2241013718063314E-01
   8.7587587587587601E-01   9.2941319172036996E-01  -3.4108332408254272E-01
   9.2592592592592604E-01   9.3602922264774069E-01  -2.5897131928023337E-01
   9.7597597597597607E-01   9.2786999668790349E-01  -1.7702965021822553E-01
   1.0260260260260261E+00   9.0380413356392975E-01  -9.6793134947866039E-02
   1.0760760760760761E+00   8.6230947391765012E-01  -2.0277923185607265E-02
   1.1261261261261262E+00   8.0235636536924038E-01   5.0301927545506699E-02
   1.1761761761761762E+00   7.2494371895298393E-01   1.1284587984307606E-01
   1.2262262262262265E+00   6.3431591669784648E-01   1.6552466656990861E-01
   1.2762762762762765E+00   5.3784658771777016E-01   2.0674166045788900E-01
   1.3263263263263265E+00   4.4445819161569144E-01   2.3507994059016174E-01
   1.3763763763763766E+00   3.6236211183628164E-01   2.4964735694450324E-01
   1.4264264264264266E+00   2.9702339498446295E-01   2.5127337101161429E-01
   1.4764764764764766E+00   2.4987384772625179E-01   2.4417780312520682E-01
   1.5265265265265267E+00   2.1828152647291860E-01   2.3588593584320558E-01
   1.5765765765765769E+00   1.9722688001786073E-01   2.3384702781379033E-01
   1.6266266266266267E+00   1.8179330284074688E-01   2.4194543335183458E-01
   1.6766766766766772E+00   1.6867999847972573E-01   2.6032658019609550E-01
   1.7267267267267272E+00   1.5627021284767004E-01   2.8721426903810532E-01
   1.7767767767767773E+00   1.4404137655772151E-01   3.2041455179168515E-01
   1.8268268268268273E+00   1.3199035127815223E-01   3.5799504716886549E-01
   1.8768768768768773E+00   1.2027519016733441E-01   3.9848301706583272E-01
   1.9269269269269271E+00   1.0904454933295060E-01   4.4088719994232634E-01
   1.9769769769769772E+00   9.8381213500771336E-02   4.8467733183672718E-01
   2.0270270270270276E+00   8.8302062436455914E-02   5.2976277532174598E-01
   2.0770770770770777E+00   7.8780423425185916E-02   5.7648199210481055E-01
   2.1271271271271277E+00   6.9774640837781815E-02   6.2561322257828156E-01
   2.1771771771771777E+00   6.1257562816919360E-02   6.7842387223118783E-01
   2.2272272272272278E+00   5.3247246981083483E-02   7.3677856147074838E-01
   2.2772772772772778E+00   4.5841569199532826E-02   8.0329827466389603E-01
   2.3273273273273278E+00   3.9258627268241066E-02   8.8142598574705178E-01
   2.3773773773773779E+00   3.3873455261300457E-02   9.7481817151522843E-01
   2.4274274274274279E+00   3.0198243076844024E-02  -9.1523174968144227E-01
   2.4774774774774779E+00   2.8719459846604217E-02  -7.9445965072752023E-01
   2.5275275275275280E+00   2.9499368547451364E-02  -6.7593829725545052E-01
   2.5775775775775780E+00   3.2043160320902979E-02  -5.7122394501621021E-01
   2.6276276276276280E+00   3.5638904096280316E-02  -4.8382726456948832E-01
   2.6776776776776781E+00   3.9668016386163581E-02  -4.1167442743161187E-01
   2.7277277277277285E+00   4.3700453585932435E-02  -3.5135939992551002E-01
   2.7777777777777786E+00   4.7468938384185887E-02  -2.9999413418558446E-01
   2.8278278278278286E+00   5.0824382100503739E-02  -2.5549383339469378E-01
   2.8778778778778786E+00   5.3701171542893451E-02  -2.1639360220013365E-01
   2.9279279279279282E+00   5.6091641128444274E-02  -1.8161575868172533E-01
   2.9779779779779783E+00   5.8024710508603618E-02  -1.5028621965749098E-01
   3.0280280280280283E+00   5.9545389826114341E-02  -1.2160925503785357E-01
   3.0780780780780788E+00   6.0694262707062296E-02  -9.4795211704018625E-02
   3.1281281281281288E+00   6.1488187019743908E-02  -6.9035825905195997E-02
   3.1781781781781788E+00   6.1904937420908246E-02  -4.3519393288630581E-02
   3.2282282282282289E+00   6.1874888559350034E-02  -1.7471662457137868E-02
   3.2782782782782789E+00   6.1281867593524261E-02   9.7975061572699307E-03
   3.3283283283283294E+00   5.9973369675597243E-02   3.8861882382127233E-02
   3.3783783783783790E+00   5.7778321320659617E-02   7.0175418642042589E-02
   3.4284284284284290E+00   5.4529323261076380E-02   1.0410574952542892E-01
   3.4784784784784790E+00   5.0086101763201246E-02   1.4101490375764911E-01
   3.5285285285285291E+00   4.4357575159243857E-02   1.8142235752994551E-01
   3.5785785785785786E+00   3.7321440209679646E-02   2.2637811371159494E-01
   3.6286286286286291E+00   2.9044027064817932E-02   2.7855180448711558E-01
   3.6786786786786796E+00   1.9721734527954275E-02   3.4667882285423962E-01
   3.7287287287287292E+00   9.9549130647793530E-03   4.7705836223864334E-01
   3.7787787787787797E+00   5.7668391752061145E-03  -9.9909038529191641E-01
   3.8288288288288292E+00   1.5123009404080063E-02  -7.1801487219660776E-01
   3.8788788788788797E+00   2.6311700314138924E-02  -6.2649713361533466E-01
   3.9289289289289293E+00   3.7371663537576726E-02  -5.6389303567778803E-01
   3.9789789789789798E+00   4.7769372920820334E-02  -5.1053121120476275E-01
   4.0290290290290303E+00   5.7127014555119315E-02  -4.6165321804554382E-01
   4.0790790790790794E+00   6.5145540967958909E-02  -4.1575120089846018E-01
   4.1291291291291303E+00   7.1605295783088621E-02  -3.7238459854842088E-01
   4.1791791791791795E+00   7.6376433076217401E-02  -3.3157763674612795E-01
   4.2292292292292304E+00   7.9429170975393301E-02  -2.9361303662357746E-01
   4.2792792792792795E+00   8.0841673354467430E-02  -2.5894761866672900E-01
   4.3293293293293305E+00   8.0804603313701789E-02  -2.2815909015417940E-01
   4.3793793793793805E+00   7.9620579855904677E-02  -2.0187420370637360E-01
   4.4294294294294296E+00   7.7694226944075628E-02  -1.8063283635711966E-01
   4.4794794794794806E+00   7.5504442864534199E-02  -1.6464827894086520E-01
   4.5295295295295297E+00   7.3547453590659534E-02  -1.5347195836577851E-01
   4.5795795795795806E+00   7.2244544744600278E-02  -1.4569590058643145E-01
   4.6296296296296298E+00   7.1830650468501456E-02  -1.3896220212746857E-01
   4.6796796796796807E+00   7.2270605608448973E-02  -1.3046461288325045E-01
   4.7297297297297307E+00   7.3252702834183697E-02  -1.1772909311784906E-01
   4.7797797797797807E+00   7.4264566031349025E-02  -9.9172007463317779E-02
   4.8298298298298308E+00   7.4707082863979202E-02  -7.4161760283530304E-02
   4.8798798798798808E+00   7.3997500706209321E-02  -4.2725750044856355E-02
   4.9299299299299308E+00   7.1640917167411208E-02  -5.1704065008170231E-03
   4.9799799799799809E+00   6.7273177354570349E-02   3.8252824720332125E-02
   5.0300300300300309E+00   6.0685662824599439E-02   8.7673992350004101E-02
   5.0800800800800809E+00   5.1842197342391039E-02   1.4414180394311976E-01
   5.1301301301301310E+00   4.0903109558165278E-02   2.1109418520128764E-01
   5.1801801801801810E+00   2.8316782750380819E-02   3.0016326712712538E-01
   5.2302302302302310E+00   1.5475559966733998E-02   4.6628932432618320E-01
   5.2802802802802811E+00   1.1129199423669463E-02   9.1778977055691402E-01
   5.3303303303303311E+00   2.3176077359196801E-02  -7.9902669626394485E-01
   5.3803803803803811E+00   3.8552940022802372E-02  -6.8173238419232107E-01
   5.4304304304304312E+00   5.3818638410766263E-02  -5.9920381522994015E-01
   5.4804804804804812E+00   6.7955740702716663E-02  -5.2795884427341866E-01
   5.5305305305305312E+00   8.0297779208248377E-02  -4.6163105007817468E-01
   5.5805805805805813E+00   9.0327389684944859E-02  -3.9790985187580469E-01
   5.6306306306306313E+00   9.7652540437105625E-02  -3.3582055515706838E-01
   5.6806806806806813E+00   1.0200874309701331E-01  -2.7493675772141740E-01
   5.7307307307307314E+00   1.0326291189415188E-01  -2.1510687823201208E-01
   5.7807807807807823E+00   1.0141371187404181E-01  -1.5636104820796479E-01
   5.8308308308308314E+00   9.6587882899716718E-02  -9.8907682518023454E-02
   5.8808808808808823E+00   8.9033905934516641E-02  -4.3208364515619532E-02
   5.9309309309309315E+00   7.9116016915962414E-02   9.8253495650199186E-03
   5.9809809809809824E+00   6.7314849581033204E-02   5.8370434517620043E-02
   6.0310310310310316E+00   5.4251148312230844E-02   9.8543929616606601E-02
   6.0810810810810825E+00   4.0787380588187962E-02   1.2123665241873983E-01
   6.1311311311311325E+00   2.8422870774148162E-02   1.0309594453088843E-01
   6.1811811811811816E+00   2.0605064230139535E-02  -2.1517131414825036E-03
   6.2312312312312326E+00   2.2186873938774752E-02  -1.5081755000726896E-01
