#        t [ns]                  pop[00]                  pop[01]                  pop[10]                  pop[11]
       0.000000   0.0000000000000000E+00   1.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00
       0.200100   2.0843745352578673E-06   9.9998384866323142E-01   1.4066954203100237E-05   2.5629894681782817E-12
       0.400200   4.1690247088664102E-06   9.9994077284773142E-01   5.5057257611961187E-05   2.7729905050675263E-10
       0.600300   6.2568963007746581E-06   9.9987428800571332E-01   1.1944367302318544E-04   3.6341795659118045E-09
       0.800400   8.3606205384075556E-06   9.9978988310890038E-01   2.0168599225321265E-04   2.2293766813562727E-08
       1.000500   1.0515511794272261E-05   9.9969448810802297E-01   2.9470813953761733E-04   9.1140889608482280E-08
       1.200600   1.2798733069695674E-05   9.9959577836040048E-01   3.9050800101610552E-04   2.8827059209202182E-07
       1.400700   1.5353204891582105E-05   9.9950137138869921E-01   4.8084778681173443E-04   7.6213930199993354E-07
       1.600800   1.8412877410824324E-05   9.9941798883202604E-01   5.5796553773685570E-04   1.7622341673487582E-06
       1.800900   2.2324337804719230E-05   9.9935067035195435E-01   6.1524602648258041E-04   3.6674556934577681E-06
       2.001001   2.7559145755188438E-05   9.9930213244772437E-01   6.4779213125434150E-04   7.0041609898637056E-06
       2.201101   3.4712211241808092E-05   9.9927235962394678E-01   6.5284587762717459E-04   1.2444859396338477E-05
       2.401201   4.4483789898635576E-05   9.9925849608468031E-01   6.3002143277527192E-04   2.0779446954816740E-05
       2.601301   5.7645690785702336E-05   9.9925507385784684E-01   5.8132944720535272E-04   3.2853814276967636E-05
       2.801401   7.4995355442545943E-05   9.9925457156493580E-01   5.1099160132888981E-04   4.9475532963371532E-05
       3.001501   9.7303833313553767E-05   9.9924825340387646E-01   4.2506378669176392E-04   7.1292479380907902E-05
       3.201601   1.2526495141804722E-04   9.9922719847127062E-01   3.3090366505784794E-04   9.8656444706179052E-05
       3.401701   1.5945371423086254E-04   9.9918340231406699E-01   2.3653148770708745E-04   1.3148876277176402E-04
       3.601801   2.0030308429445752E-04   9.9911081687278114E-01   1.4994094105723503E-04   1.6916830638821228E-04
       3.801901   2.4810913560156697E-04   9.9900619229205012E-01   7.8419165811308906E-05   2.1046365367033084E-04
