#     iter                       g1                       g2                       g3                   bare J                   deltaU                   full J                   deltaJ                       c1                       c2                       c3                 max_conc
         0   9.6217039742188060E-01  -7.6271515454235161E-02   2.9072347471830033E+00   1.1125394740594188E+00   1.2796298421549102E-01   2.2642063319988381E-01   7.3132024139898066E-01   9.4215138192155545E-01   4.3699771941550704E-02   4.1791926646748377E-02   3.1363964958639223E-01
         1   9.6227232608651592E-01  -7.4649766020861069E-02   2.9077877204993747E+00   1.1236274115927456E+00   1.2605372563983486E-01   2.2581109423512594E-01   7.2059088920037839E-01   9.4258657046842775E-01   4.3207153266771423E-02   4.1746944067160091E-02   3.1087060315765924E-01
         2   9.6238058146605387E-01  -7.3081244596353942E-02   2.9083447322834970E+00   1.1344772388697235E+00   1.2419142090362356E-01   2.2522000270023357E-01   7.1013521034948612E-01   9.4301461532480924E-01   4.2723533763532662E-02   4.1703512444409604E-02   3.0814716243917412E-01
         3   9.6249454671876855E-01  -7.1563761348196156E-02   2.9089047370200336E+00   1.1450944146241033E+00   1.2237475243375928E-01   2.2464671865279368E-01   6.9994436657777015E-01   9.4343565982583133E-01   4.2248671339906209E-02   4.1661597547732722E-02   3.0546833167115900E-01
         4   9.6261365015745515E-01  -7.0095230845061501E-02   2.9094667814970276E+00   1.1554843041411824E+00   1.2060243705317497E-01   2.2409062376197572E-01   6.9000987041430406E-01   9.4384984541328232E-01   4.1782323659166870E-02   4.1621173708520323E-02   3.0283311126670037E-01
         5   9.6273736191469639E-01  -6.8673666482107903E-02   2.9100299972602723E+00   1.1656521788620087E+00   1.1887322544519152E-01   2.2355112078687325E-01   6.8032356565619079E-01   9.4425731153224191E-01   4.1582223825303868E-02   4.1324247909654485E-02   3.0101346283099317E-01
         6   9.6286519086091371E-01  -6.7297175243910129E-02   2.9105935936770653E+00   1.1756032158566159E+00   1.1718590161400799E-01   2.2302763303826878E-01   6.7087760956919407E-01   9.4465819554257602E-01   4.1544739201203620E-02   4.0874200752388526E-02   2.9969987567084133E-01
         7   9.6299668175354070E-01  -6.5963952779452037E-02   2.9111568515568220E+00   1.1853424972110607E+00   1.1553928234372568E-01   2.2251960383045918E-01   6.6166445663259044E-01   9.4505263264413197E-01   4.1508719140608864E-02   4.0431938518109840E-02   2.9840944238398692E-01
         8   9.6313141259816659E-01  -6.4672278766217214E-02   2.9117191172816548E+00   1.1948750094326841E+00   1.1393221664403042E-01   2.2202649592289581E-01   6.5267684359790745E-01   9.4544075581472931E-01   4.1474170233680489E-02   3.9997217723858142E-02   2.9714181636176967E-01
         9   9.6326899220424811E-01  -6.3420512542750468E-02   2.9122797974040529E+00   1.2042056428998877E+00   1.1236358518514578E-01   2.2154779095661997E-01   6.4390777572113578E-01   9.4582269575984002E-01   4.1441105268933354E-02   3.9569795967729172E-02   2.9589667499398703E-01
