# OCT iter        615;   J_T =   9.481897831316E-03;   pulse_id =          3                                                                                                                                                                                   
#               time [ns]              abs(E) [au]          arg(E) [rad/pi]
   2.0008003201280513E-02   1.7209631025135829E-06  -8.6283960086852618E-01
   6.0024009603841535E-02   1.5721200874281348E-05  -7.5411399961199221E-01
   1.0004001600640258E-01   4.4583003432511826E-05  -6.4741425625841809E-01
   1.4005602240896359E-01   8.9484385802058390E-05  -5.4315194976634207E-01
   1.8007202881152465E-01   1.5152719359449570E-04  -4.4140053448124433E-01
   2.2008803521408568E-01   2.3136941791970599E-04  -3.4196126943569266E-01
   2.6010404161664669E-01   3.2894173326677696E-04  -2.4444812194110246E-01
   3.0012004801920772E-01   4.4328685617949984E-04  -1.4836150803075801E-01
   3.4013605442176875E-01   5.7253759785122894E-04  -5.3139863989646326E-02
   3.8015206082432978E-01   7.1403759822568432E-04   4.1809459990972013E-02
   4.2016806722689082E-01   8.6460303383356955E-04   1.3709307798195980E-01
   4.6018407362945185E-01   1.0209189564751977E-03   2.3331974897608765E-01
   5.0020008003201277E-01   1.1800557786280936E-03   3.3108491963551773E-01
   5.4021608643457386E-01   1.3400748063797856E-03   4.3094218523108996E-01
   5.8023209283713495E-01   1.5006606887957494E-03   5.3335239901774045E-01
   6.2024809923969593E-01   1.6636687361025301E-03   6.3860483592666861E-01
   6.6026410564225702E-01   1.8334122694597774E-03   7.4671655068036136E-01
   7.0028011204481799E-01   2.0164720692122636E-03   8.5733842361730472E-01
   7.4029611844737908E-01   2.2208535560798355E-03   9.6972090108198394E-01
   7.8031212484994006E-01   2.4545099665795578E-03  -9.1720653575276290E-01
   8.2032813125250115E-01   2.7235499916596763E-03  -8.0463503832651850E-01
   8.6034413765506212E-01   3.0306602759331879E-03  -6.9362366258673225E-01
   9.0036014405762321E-01   3.3742011206463257E-03  -5.8490054590829910E-01
   9.4037615046018430E-01   3.7481205832078680E-03  -4.7878491426343156E-01
   9.8039215686274517E-01   4.1425304983200469E-03  -3.7522117355005929E-01
   1.0204081632653061E+00   4.5446799334012758E-03  -2.7387041900770109E-01
   1.0604241696678671E+00   4.9401215007742489E-03  -1.7420650369109680E-01
   1.1004401760704283E+00   5.3139746750500783E-03  -7.5588487302602134E-02
   1.1404561824729893E+00   5.6522694721278504E-03   2.2696412558386860E-02
   1.1804721888755503E+00   5.9433881715749261E-03   1.2141323397229008E-01
   1.2204881952781113E+00   6.1796229352468028E-03   2.2137211229341097E-01
   1.2605042016806725E+00   6.3588386376585166E-03   3.2341980240084556E-01
   1.3005202080832334E+00   6.4861592255982719E-03   4.2841176222769994E-01
   1.3405362144857944E+00   6.5754459896145622E-03   5.3714027525695929E-01
   1.3805522208883556E+00   6.6500629416918512E-03   6.5019124747703516E-01
   1.4205682272909166E+00   6.7420488866604591E-03   7.6771974594028769E-01
   1.4605842336934776E+00   6.8885960265039113E-03   8.8919646543459785E-01
   1.5006002400960385E+00   7.1252917180640437E-03  -9.8672222293385503E-01
   1.5406162464985997E+00   7.4774030581924470E-03  -8.6201097125029214E-01
   1.5806322529011607E+00   7.9526177020385336E-03  -7.3875648726079213E-01
   1.6206482593037215E+00   8.5386600177307370E-03  -6.1856698025871548E-01
   1.6606642657062827E+00   9.2063431193951262E-03  -5.0224297339850466E-01
   1.7006802721088436E+00   9.9156931738691827E-03  -3.8980049063515460E-01
   1.7406962785114046E+00   1.0622369030634597E-02  -2.8069385973405453E-01
   1.7807122849139658E+00   1.1283000206677236E-02  -1.7405421220891018E-01
   1.8207282913165268E+00   1.1859394933570010E-02  -6.8853963298934173E-02
   1.8607442977190878E+00   1.2322108392719754E-02   3.6009853585137704E-02
   1.9007603041216488E+00   1.2653861792114808E-02   1.4168618392806967E-01
   1.9407763105242100E+00   1.2853106008625081E-02   2.4935999035723400E-01
   1.9807923169267709E+00   1.2937728748728339E-02   3.6022375205596874E-01
   2.0208083233293319E+00   1.2948395348659481E-02   4.7538307122132600E-01
   2.0608243297318931E+00   1.2950069813403933E-02   5.9564155399545282E-01
   2.1008403361344539E+00   1.3028882134535163E-02   7.2114084646741328E-01
   2.1408563425370151E+00   1.3280727451551714E-02   8.5096023641505336E-01
   2.1808723489395763E+00   1.3790479708394258E-02   9.8298632739069935E-01
   2.2208883553421370E+00   1.4608000702304842E-02  -8.8562083394657343E-01
   2.2609043617446982E+00   1.5733361676867650E-02  -7.5748800612600120E-01
   2.3009203681472594E+00   1.7119182841987008E-02  -6.3423886886161740E-01
   2.3409363745498202E+00   1.8685800574858847E-02  -5.1631025164449029E-01
   2.3809523809523814E+00   2.0339039846168201E-02  -4.0325006788868767E-01
   2.4209683873549426E+00   2.1984131321789436E-02  -2.9412818309835786E-01
   2.4609843937575033E+00   2.3534926332829192E-02  -1.8783827649898527E-01
   2.5010004001600645E+00   2.4920061586047784E-02  -8.3256732726085206E-02
   2.5410164065626253E+00   2.6087745386106857E-02   2.0696549599022524E-02
   2.5810324129651860E+00   2.7010117876852407E-02   1.2504464097064863E-01
   2.6210484193677472E+00   2.7687455905174487E-02   2.3074983898692875E-01
   2.6610644257703084E+00   2.8151899873805276E-02   3.3869209103109621E-01
   2.7010804321728692E+00   2.8469697011696136E-02   4.4960641821382169E-01
   2.7410964385754304E+00   2.8740064683041543E-02   5.6396290113001146E-01
   2.7811124449779911E+00   2.9087921517009039E-02   6.8179596486561800E-01
   2.8211284513805523E+00   2.9647899931082147E-02   8.0254079839777026E-01
   2.8611444577831135E+00   3.0539809898151856E-02   9.2499397445006348E-01
   2.9011604641856743E+00   3.1841310120590612E-02  -9.5249144156771337E-01
   2.9411764705882355E+00   3.3568190031942759E-02  -8.3160001851711718E-01
   2.9811924769907967E+00   3.5670645302807544E-02  -7.1363136646750991E-01
   3.0212084833933575E+00   3.8045408812594911E-02  -5.9927014827934433E-01
   3.0612244897959187E+00   4.0556255673333638E-02  -4.8859930043967420E-01
