#    E0[MHz]    concurrence     n_q     n_c
    0.000000       0.080270       4      15
   50.000000       0.078380       4      15
  100.000000       0.072710       5      15
  125.000000       0.068440       5      15
  150.000000       0.063210       5      15
  175.000000       0.057010       5      20
  200.000000       0.049820       5      20
  225.000000       0.041640       5      25
  250.000000       0.032450       5      30
  275.000000       0.022240       6      30
  300.000000       0.010980       6      35
  325.000000       0.001330       6      40
  350.000000       0.014720       6      40
  375.000000       0.029210       6      45
  400.000000       0.044800       6      45
  425.000000       0.061550       6      50
  450.000000       0.079450       6      55
  500.000000       0.118790       6      60
