#    E0[MHz]    concurrence     n_q     n_c
    0.000000       0.216030       4      15
   50.000000       0.219030       5      15
  100.000000       0.228030       5      15
  125.000000       0.234800       5      15
  150.000000       0.243080       5      15
  175.000000       0.252890       5      20
  200.000000       0.264230       5      20
  225.000000       0.277100       5      20
  250.000000       0.291480       5      20
  275.000000       0.307070       5      20
  300.000000       0.324880       5      25
  325.000000       0.344260       6      30
  350.000000       0.364980       6      35
  375.000000       0.387220       6      35
  400.000000       0.411080       6      40
  425.000000       0.436320       6      40
  450.000000       0.463270       6      45
  500.000000       0.521190       6      50
