#        t [ns]             Re[<00|Psi>]             Im[<00|Psi>]             Re[<01|Psi>]             Im[<01|Psi>]             Re[<10|Psi>]             Im[<10|Psi>]             Re[<11|Psi>]             Im[<11|Psi>]
       0.000000   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.0000000000000000E+00   0.0000000000000000E+00
       0.100083  -6.1153972538765899E-16  -1.3295612426940133E-15  -2.7693748373651898E-08  -2.6551153979114490E-08  -2.2640270338586111E-08  -3.0522999169537738E-08  -8.4690304452580079E-01  -5.2823428787435800E-01
       0.200167  -1.1665034765730868E-12  -3.6926242604736764E-13   5.8722069582040633E-07  -9.5502662429906360E-07   8.1966686355300011E-07  -6.9848493948829042E-07   4.3895037976164480E-01   8.9112630864089060E-01
       0.300250  -3.7789406062689103E-11   1.2184845478547307E-11   5.9173382792458095E-06   2.7817986671816218E-06   3.6666517925253565E-06   4.6529325245133212E-06   9.2961963903770817E-02  -9.8335625144903749E-01
       0.400334  -2.9381040588060659E-10   2.8614786797233037E-10  -8.5374053827831142E-06   2.0108062146416581E-05  -1.5462738865528946E-05   9.5224762681202463E-06  -5.8974644811463151E-01   7.8703612792058397E-01
       0.500417  -8.9013599157590409E-10   1.9049733895815656E-09  -4.8077660104570086E-05  -2.0813220897173687E-05  -1.4620951497315011E-05  -3.5852828430130805E-05   9.1176579810889546E-01  -3.6464532044240366E-01
       0.600500  -8.5236235555038487E-10   6.3797447128287635E-09   4.2058703858755713E-05  -8.9805616009866352E-05   6.1688195411534349E-05  -1.1791454179267315E-05  -9.6960712302849361E-01  -1.6373495306305763E-01
       0.700584   1.6844520422503001E-09   1.2875152906535936E-08   1.3895419644708513E-04   7.0964633812159041E-05  -3.7276868265019765E-06   8.0808679512011779E-05   7.4362943646722979E-01   6.4821764725364761E-01
       0.800667   5.8576008301194944E-09   1.7625236421230570E-08  -1.0081479611264612E-04   1.8590506323514828E-04  -7.9458220526325469E-05  -2.9971168104787162E-05  -2.9428192432850675E-01  -9.4515932929016755E-01
       0.900751   6.8590663959894116E-09   2.0752615681151663E-08  -2.2319958116722032E-04  -1.2360526052660094E-04   6.1837934176140372E-05  -4.9619668811082641E-05  -2.4729905560728332E-01   9.6101350421141785E-01
       1.000834   4.1081348562443288E-09   3.1221721281394649E-08   1.3859837629500089E-04  -2.4690184181469597E-04  -1.2412137346137209E-05   9.6953025364528029E-05   7.1678540599708485E-01  -6.8760004965329258E-01
       1.100917   6.9960679265396122E-09   5.6914164137060627E-08   2.5152226800132074E-04   1.5730829911456427E-04  -1.3109241115315397E-04  -1.1237101392443512E-04  -9.7116300091375529E-01   2.0759586556229831E-01
       1.201001   1.9925786559616431E-08   9.4223806126600636E-08  -1.9889852828532367E-04   2.2454233852896527E-04   2.5239824308946878E-04  -1.4510484023480682E-04   9.3469766298048895E-01   3.3374985664304457E-01
       1.301084   2.4999164197232221E-08   1.4235966852106902E-07  -1.4830456266573628E-04  -2.7880068594157817E-04   1.0574134866673347E-04   4.1082880383648969E-04  -6.1931115268684045E-01  -7.7461848614949380E-01
       1.401168   2.5283153818115217E-09   2.2112633413244335E-07   3.9935246177771823E-04  -1.0972816501540468E-05  -5.3370212880242754E-04  -8.6420493428001938E-06   1.1948260928747700E-01   9.8339222642534196E-01
       1.501251  -3.2551469288589623E-08   3.4637028237189698E-07  -1.8001640461376295E-04   5.5099725724206945E-04   1.8384601475516024E-04  -5.5924204148438141E-04   4.1436934659875746E-01  -8.9761665515878264E-01
       1.601334  -5.4949675997252478E-08   4.9736267980404097E-07  -7.2485641520018528E-04  -3.9509332528357439E-04   4.5348508969795674E-04   3.7892666299330899E-04  -8.2139697753449081E-01   5.4501399989773003E-01
       1.701418  -9.2229261730869994E-08   6.7281778873573714E-07   5.9889944440113575E-04  -9.2375289082091499E-04  -5.5697558203320280E-04   2.1672788633356530E-04   9.8205589165663598E-01  -3.4365468962574669E-02
       1.801501  -1.8163227065593236E-07   9.9977253680925618E-07   1.1554575880269190E-03   7.7534518989922914E-04   1.4069725168563803E-04  -6.9428629380889953E-04  -8.5376762193835842E-01  -4.8216945383325555E-01
       1.901585  -2.1423572748046388E-07   1.6867793896185701E-06  -9.3841383929242910E-04   1.4103675767572839E-03   7.5310313896155990E-04   6.1022750018406829E-04   4.7741423081667356E-01   8.5639529408729875E-01
       2.001668   7.0555791899952015E-08   2.7587529382471726E-06  -1.6448257325733652E-03  -1.1188146530748851E-03  -1.1528485048192772E-03   6.5840169008708586E-04   3.9512510041270710E-02  -9.8218859196652386E-01
       2.101751   7.9305899295318606E-07   3.8847615132509904E-06   1.3384040141742846E-03  -1.7876493136626333E-03  -3.3100935993059634E-04  -1.6529918735865724E-03  -5.5035914382745921E-01   8.1969720943720836E-01
       2.201835   1.6783048343712074E-06   4.6174660718946189E-06   1.7704525323172448E-03   1.5928302932822097E-03   1.9307169506052766E-03   2.3196615410095802E-04   9.0341369736874966E-01  -4.0910817706972735E-01
       2.301918   2.2478455645368635E-06   4.8399443613627049E-06  -1.8596982717659864E-03   1.5655387448491025E-03  -9.1505718378166127E-04   1.8359481010574972E-03  -9.8550117978050422E-01  -1.3065437758987125E-01
       2.402002   2.2618220858964485E-06   4.9004038954498405E-06  -1.2008492202209339E-03  -2.1327634652740729E-03  -1.3411751091522569E-03  -1.5464299061134488E-03   7.6609244374197816E-01   6.3198814554167915E-01
       2.502085   1.8385401226291031E-06   5.3667956415396148E-06   2.4512383915116453E-03  -7.3015212892603117E-04   2.0034421151593263E-03  -5.2875030039921584E-04  -3.1523920122103211E-01  -9.3725617734767697E-01
       2.602168   1.2113679160248206E-06   6.8612481089905069E-06   1.7966487866383969E-04   2.8844127176689922E-03  -5.0278505283573932E-04   2.2347758218909733E-03  -2.2308388613536101E-01   9.5722529780311583E-01
       2.702252   6.6491411525480089E-07   1.0087393896396434E-05  -3.4728200321099763E-03  -4.7779037349372886E-04  -2.1830792146990590E-03  -1.6788601365877443E-03   6.8669301359458346E-01  -6.9567571306074161E-01
       2.802335   7.5844445469878346E-07   1.5491443274204653E-05   1.2958670698042624E-03  -4.1717250672532414E-03   2.8783087629557242E-03  -1.7353566018177737E-03  -9.4569251034427126E-01   2.3569625279378648E-01
       2.902419   2.1770764854283387E-06   2.2429051597188387E-05   4.8404616068968270E-03   2.2952639308386549E-03   7.9750104047392103E-04   3.8566987565385709E-03   9.3044846964602179E-01   2.9106302474358925E-01
       3.002502   4.9544522789844230E-06   2.8947788941431437E-05  -3.4125491991291749E-03   5.2922138356298869E-03  -4.2926460535883211E-03  -5.7204568627319840E-04  -6.4351656764370979E-01  -7.3602996989779845E-01
       3.102585   8.0411546686393342E-06   3.3132044218535281E-05  -5.3863241799848999E-03  -4.5016867332685964E-03   2.1183017313307559E-03  -3.9495730249170117E-03   1.6263912289535626E-01   9.6774161555013316E-01
       3.202669   1.0162601586076576E-05   3.4899519257343753E-05   5.4111865633397812E-03  -5.1022608347760599E-03   2.8111981810312078E-03   3.5005504552955108E-03   3.7225279120125876E-01  -9.1097317928561283E-01
       3.302752   1.1179770605829193E-05   3.6112232795379364E-05   4.5241653741394851E-03   6.0906979086734793E-03  -4.4595730315841881E-03   1.0595428543773758E-03  -7.9752816655065784E-01   5.7800641970594413E-01
       3.402836   1.2207624373166928E-05   3.8872112494484448E-05  -6.6299839543051790E-03   3.7401510417381582E-03   1.0707275077256641E-03  -4.8688498900189923E-03   9.8134306591965725E-01  -7.0319473511925079E-02
       3.502919   1.4269669598427912E-05   4.4168955166822760E-05  -2.7499877516276639E-03  -7.1871493087531865E-03   4.6317226183907028E-03   3.3736863167182171E-03  -8.6924147748375857E-01  -4.5592190433258983E-01
       3.603003   1.7250346293128679E-05   5.2135576226531146E-05   7.8663860537930390E-03  -1.4636336861427858E-03  -5.5829289088102389E-03   3.6035926036613848E-03   4.9844335615342822E-01   8.4251939066076331E-01
       3.703086   2.0411494071079935E-05   6.2595898556708430E-05  -2.1368288143889603E-04   8.6380024063384912E-03  -1.7055287847973131E-03  -7.2650066524045176E-03   1.8201612222662977E-02  -9.7621417490426832E-01
       3.803169   2.3405871619177191E-05   7.4652301822589751E-05  -9.3509586300424916E-03  -2.2748609774926936E-03   7.9143893993837647E-03   8.7986158627637165E-04  -5.2652464509522223E-01   8.1922673126949275E-01
       3.903253   2.6154271446089856E-05   8.6599876280697366E-05   4.5612362840456279E-03  -9.8298113453791844E-03  -3.6859600600055841E-03   7.2076943113194491E-03   8.7550613680799971E-01  -4.2004624514705391E-01
       4.003336   2.8261473011079428E-05   9.7707323196956575E-05   9.9863215697587934E-03   6.8216145886130421E-03  -5.1580023019870656E-03  -6.1579964746220975E-03  -9.6288857208260703E-01  -1.0063976055309147E-01
       4.103420   2.9947167242961589E-05   1.1002777614842784E-04  -8.8474441483430664E-03   9.8482544497762239E-03   7.8511938368260679E-03  -2.0431073807686368E-03   7.6600527943541807E-01   5.8791589957808732E-01
       4.203503   3.3767682169317450E-05   1.2681880563304891E-04  -9.4782769653602942E-03  -1.0571670367956559E-02  -1.7455680087110959E-03   8.4548506672494205E-03  -3.4550323202934730E-01  -9.0022200075840386E-01
       4.303586   4.3684809247192807E-05   1.4817224080663092E-04   1.2051149881072549E-02  -8.8668376754349829E-03  -7.7158735094000940E-03  -5.7336708219368629E-03  -1.7590231984861010E-01   9.4837914825806524E-01
       4.403670   6.0822046050108457E-05   1.6904311713081984E-04   7.9016889264292931E-03   1.3365020094470445E-02   9.2793006051591562E-03  -5.4688679442704471E-03   6.4778445709903076E-01  -7.1712770086243849E-01
       4.503753   8.0613030462829330E-05   1.8291003547844570E-04  -1.4524094922955548E-02   6.4378698221767092E-03   1.8361089764622760E-03   1.1584991026280644E-02  -9.3032551914737049E-01   2.7001403193871248E-01
       4.603837   9.5588450067383041E-05   1.8768726403584586E-04  -4.4113662556372673E-03  -1.5463966486021045E-02  -1.1957294877535407E-02  -2.6109013226220238E-03   9.3380136237961231E-01   2.6228831410139114E-01
       4.703920   1.0126925174305748E-04   1.8802833504475222E-04   1.6127941180288086E-02  -1.9020723853225337E-03   6.9854999481376041E-03  -1.0150456174031640E-02  -6.5239450940106969E-01  -7.1584800997093401E-01
       4.804003   9.9030279279307693E-05   1.9281304053983084E-04  -9.2191419036569220E-04   1.6560718652492704E-02   6.4540340532113182E-03   1.0456343776632786E-02   1.7392837122545646E-01   9.4807138132560631E-01
       4.904087   9.4355546779367172E-05   2.1135814834185104E-04  -1.6900121201488535E-02  -3.9384492759714394E-03  -1.2492786056538276E-02   1.4496334343965366E-03   3.4942468551252870E-01  -8.9064152974526667E-01
       5.004170   9.4137543422250229E-05   2.5047839202607799E-04   7.1505325750966884E-03  -1.7247763843342180E-02   4.2433604041927503E-03  -1.2785752862984622E-02  -7.5818588614439120E-01   5.7050473105715738E-01
       5.104254   1.0500395701816136E-04   3.1090534716714431E-04   1.7530510743305597E-02   1.0628196016251769E-02   1.1078311979852483E-02   9.9472171447612182E-03   9.3794028442750799E-01  -9.0721288678565881E-02
       5.204337   1.3057627298631013E-04   3.8331773234919267E-04  -1.4365018893789763E-02   1.7473617970272297E-02  -1.4764293839441346E-02   7.2379319459235101E-03  -8.4486020553154262E-01  -4.0875840533976582E-01
       5.304420   1.6740856558176642E-04   4.4946496013980686E-04  -1.6713554352569319E-02  -1.8162350927723572E-02  -1.5477430787664420E-03  -1.7624657173101962E-02   5.0808438930138244E-01   7.8821197628889916E-01
       5.404504   2.0463409552477042E-04   4.9219804761635672E-04   2.1633805029889208E-02  -1.4994988934627626E-02   1.7648829444763630E-02   5.1182073772646913E-03  -2.1189161646843702E-02  -9.3883645971172758E-01
       5.504587   2.3088020351492273E-04   5.0779471225542228E-04   1.2330672551384101E-02   2.4366196091430838E-02  -1.1485264490656179E-02   1.4566241439241463E-02  -4.7613863022181047E-01   8.1138801126408477E-01
       5.604671   2.4314369596318579E-04   5.0865615736339262E-04  -2.6153791347558408E-02   8.9828650236716111E-03  -8.8356715500347606E-03  -1.6332672390393439E-02   8.3299971137485485E-01  -4.3798932260134543E-01
       5.704754   2.4844714075321160E-04   5.1387944647555191E-04  -5.2496859895199179E-03  -2.7111746999308014E-02   1.8843098223712659E-02  -1.3811752483348864E-03  -9.3644613898250084E-01  -6.8832224867270336E-02
       5.804837   2.5681054721718427E-04   5.3753339874107508E-04   2.7545944933656544E-02  -1.2373069042337908E-03  -6.7486242926331303E-03   1.8595251404847739E-02   7.5458894361492646E-01   5.5068117618035128E-01
