#    E0[MHz]    concurrence       pop_loss     n_q     n_c
    0.000000       0.347280  -2.629008E-13       4      15
   50.000000       0.372790   2.748155E-06       5      15
  100.000000       0.450180   1.211664E-04       5      15
  125.000000       0.509190   1.065756E-04       5      15
  150.000000       0.582110   5.733319E-05       6      15
  175.000000       0.668730   1.026966E-04       6      20
  200.000000       0.768320   7.284787E-04       6      20
  225.000000       0.962030   3.338548E-02      10      25
  250.000000       0.985700   9.891985E-03      11      30
  275.000000       0.790130   1.168232E-01      11      30
  300.000000       0.342380   1.581433E-01      12      40
  325.000000       0.059100   3.163509E-02      13      45
  350.000000       0.433360   2.911231E-01      13      50
  375.000000       0.725690   2.372297E-01      13      50
  400.000000       0.853840   3.743270E-02      13      50
  425.000000       0.944270   1.756836E-01      13      50
  450.000000       0.999110   4.259524E-01      13      50
  500.000000       0.985430   1.394986E-01      13      60
