#    E0[MHz]    concurrence       pop_loss     n_q     n_c
    0.000000       0.347280  -2.819966E-14       4      15
   50.000000       0.321260   9.102971E-07       4      15
  100.000000       0.239960   3.775161E-06       4      20
  125.000000       0.175600   7.037852E-06       5      20
  150.000000       0.092460   7.147592E-05       7      20
  175.000000       0.011020   1.360008E-04       9      35
  200.000000       0.137080   6.254028E-04       9      35
  225.000000       0.285290   5.810568E-04       9      35
  250.000000       0.453110   1.155861E-03       9      35
  275.000000       0.629370   2.179918E-03       9      35
  300.000000       0.794160   2.828740E-03       9      35
  325.000000       0.925500   4.182535E-03       9      35
  350.000000       0.993980   4.695844E-03       9      35
  375.000000       0.986350   8.615356E-03       9      35
  400.000000       0.915160   1.091747E-02      10      35
  425.000000       0.792660   2.227374E-02      12      40
  450.000000       0.739770   4.694106E-02      13      45
  500.000000       0.988470   1.555288E-01      13      50
