#        t [ns]             Re[<00|Psi>]             Im[<00|Psi>]             Re[<01|Psi>]             Im[<01|Psi>]             Re[<10|Psi>]             Im[<10|Psi>]             Re[<11|Psi>]             Im[<11|Psi>]
       0.000000   0.0000000000000000E+00   0.0000000000000000E+00   9.9999999999999933E-01   0.0000000000000000E+00  -2.1510571102112403E-16   0.0000000000000000E+00  -1.1914119538221819E-32   0.0000000000000000E+00
       0.100050  -6.5403566452634095E-10   2.2615691946210668E-09  -1.5768706469471688E-01   9.8748913392905791E-01  -2.2985086056692712E-17  -2.3245294578089215E-16   2.7298673757531138E-10  -1.7206162266710761E-09
       0.200100  -1.6495904673596576E-08   1.6332129968479914E-08  -9.5026957925588440E-01  -3.1142852589438907E-01   5.9327542878406803E-16   1.2143064331837652E-16   2.4685561725387301E-10   1.6928924450816271E-08
       0.300150  -7.4570960633094276E-08   2.5896247510447576E-08   4.5737750593756155E-01  -8.8927263370759346E-01  -2.5222879340702775E-15   3.6047553830798051E-15  -5.5345736018113636E-09  -5.5593787966543873E-08
       0.400200  -1.8083569164062188E-07  -1.9007958344566346E-08   8.0602454651598410E-01   5.9188210853802803E-01  -1.4122383817927187E-14  -1.6037518535405582E-14   2.2009570063237728E-08   1.2134631606081973E-07
       0.500250  -2.8976593715878131E-07  -1.7554375926230456E-07  -7.1157679555378761E-01   7.0260832901783454E-01   6.0456847861267704E-14  -3.4772532075955098E-14  -5.8020823073986535E-08  -2.0990493802401496E-07
       0.600300  -3.0256066502791244E-07  -4.6015013745190592E-07  -5.8161163410398775E-01  -8.1346659857822412E-01   5.7934559927197427E-14   1.6267022451277313E-13   1.2281484215511260E-07   3.0901809287896700E-07
       0.700350  -1.0549368171711730E-07  -8.0585258368730586E-07   8.9500205823400181E-01  -4.4606200866453577E-01  -3.4550140526334872E-13   6.3761496083003522E-14  -2.2487567626936127E-07  -3.9988330077859741E-07
       0.800400   3.6205987620502155E-07  -1.0550366783295076E-06   2.9935113912684425E-01   9.5414301605957574E-01  -2.8082570990850542E-14  -6.1955822416859263E-13   3.6970156812625334E-07   4.5972130097859823E-07
       0.900450   1.0407798145280999E-06  -1.0051500216971447E-06  -9.8940966280613096E-01   1.4514998559467290E-01   9.8848533525153215E-13   6.9530319002364394E-14  -5.5730144904220586E-07  -4.6500404932813682E-07
       1.000500   1.7245086064683324E-06  -4.9990016452505395E-07   1.2683071920732994E-02  -9.9991956582974217E-01  -2.5307894343552795E-13   1.4619156579742665E-12   7.7988800244936467E-07   3.9478933610494529E-07
       1.100550   2.1014154465555082E-06   4.6792728725100221E-07   9.8540974909116064E-01   1.7019877683795262E-01  -2.0558138524862102E-12  -5.7443633183495990E-13  -1.0203448849565619E-06  -2.3369638348020451E-07
       1.200600   1.8640653212331121E-06   1.6910922946421554E-06  -3.2345581323116829E-01   9.4624327328514413E-01   1.1330485161220594E-12  -2.7662750562429395E-12   1.2520083638354155E-06  -2.5776090087550825E-08
       1.300650   8.5549728522754947E-07   2.7635767468285298E-06  -8.8340015145445683E-01  -4.6861942436864201E-01   3.5302732959152650E-12   2.0631647432156619E-12  -1.4401198434087697E-06   3.8169838877471498E-07
       1.400700  -8.0715807370000574E-07   3.1935667164473246E-06   6.0205736496035145E-01  -7.9845282739627110E-01  -3.4850611979608814E-12   4.2090185503607103E-12   1.5450087681367991E-06  -8.2188566477202151E-07
