#  Guess pulse generated by entanglement.pyc
#  Blackman pulse with E0 = 425 MHz
#               time [ns]           Re(ampl) [MHz]           Im(ampl) [MHz]
  5.00250125062531303E-02  9.44726252675304190E-05  0.00000000000000000E+00
  1.50075037518759391E-01  8.50259694093122298E-04  0.00000000000000000E+00
  2.50125062531265652E-01  2.36186618694927963E-03  0.00000000000000000E+00
  3.50175087543771912E-01  4.62935681242934716E-03  0.00000000000000000E+00
  4.50225112556278173E-01  7.65282862860462709E-03  0.00000000000000000E+00
  5.50275137568784434E-01  1.14324110374448146E-02  0.00000000000000000E+00
  6.50325162581290694E-01  1.59682657772330927E-02  0.00000000000000000E+00
  7.50375187593796955E-01  2.12605869130112757E-02  0.00000000000000000E+00
  8.50425212606303216E-01  2.73096008253499029E-02  0.00000000000000000E+00
  9.50475237618809476E-01  3.41155661970540119E-02  0.00000000000000000E+00
  1.05052526263131574E+00  4.16787739979461447E-02  0.00000000000000000E+00
  1.15057528764382200E+00  4.99995474679566093E-02  0.00000000000000000E+00
  1.25062531265632826E+00  5.90782420981022377E-02  0.00000000000000000E+00
  1.35067533766883452E+00  6.89152456097665012E-02  0.00000000000000000E+00
  1.45072536268134078E+00  7.95109779319388976E-02  0.00000000000000000E+00
  1.55077538769384704E+00  9.08658911766554306E-02  0.00000000000000000E+00
  1.65082541270635330E+00  1.02980469612498626E-01  0.00000000000000000E+00
  1.75087543771885956E+00  1.15855229636298643E-01  0.00000000000000000E+00
  1.85092546273136582E+00  1.29490719742858529E-01  0.00000000000000000E+00
  1.95097548774387208E+00  1.43887520492827492E-01  0.00000000000000000E+00
  2.05102551275637834E+00  1.59046244478728060E-01  0.00000000000000000E+00
  2.15107553776888460E+00  1.74967536289048764E-01  0.00000000000000000E+00
  2.25112556278139087E+00  1.91652072470478718E-01  0.00000000000000000E+00
  2.35117558779389713E+00  2.09100561488337666E-01  0.00000000000000000E+00
  2.45122561280640339E+00  2.27313743684941560E-01  0.00000000000000000E+00
  2.55127563781890965E+00  2.46292391236399233E-01  0.00000000000000000E+00
