#    E0[MHz]    concurrence     n_q     n_c
    0.000000       0.101870       4      15
   50.000000       0.102940       4      15
  100.000000       0.106130       5      15
  125.000000       0.108520       5      15
  150.000000       0.111440       5      15
  175.000000       0.114880       5      15
  200.000000       0.118830       5      15
  225.000000       0.123310       5      20
  250.000000       0.128290       5      20
  275.000000       0.133780       5      20
  300.000000       0.139770       5      25
  325.000000       0.146250       5      25
  350.000000       0.153210       5      25
  375.000000       0.160650       5      30
  400.000000       0.168560       5      30
  425.000000       0.176910       6      30
  450.000000       0.185750       6      35
  500.000000       0.204690       6      40
