#    E0[MHz]    concurrence     n_q     n_c
    0.000000       0.059680       4      15
   50.000000       0.040810       4      15
  100.000000       0.015210       5      20
  125.000000       0.056580       5      20
  150.000000       0.106290       5      25
  175.000000       0.163700       5      30
  200.000000       0.227970       6      30
  225.000000       0.298090       6      35
  250.000000       0.372750       6      40
  275.000000       0.450450       6      45
  300.000000       0.529500       6      50
  325.000000       0.608060       6      55
  350.000000       0.684170       6      60
  375.000000       0.755840       6      65
  400.000000       0.821110       6      70
  425.000000       0.878100       6      75
  450.000000       0.925140       6      80
  500.000000       0.984950       6      90
